entity_name,category,platform,url,domain,audience_description,audience_size_estimate,sponsor_signal,contact_method,public_contact,fit_score,compliance_risk,fit_reason,outreach_angle,source_urls,status,created_at,updated_at
Biohacking Newsletter Sponsor Prospect 1,biohacking_newsletters,newsletter,https://example-f6eaa078.com/biohacking-newsletter-sponsor,example-f6eaa078.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-f6eaa078.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:29+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 2,biohacking_newsletters,newsletter,https://example-b1321a79.com/biohacking-newsletter-sponsor,example-b1321a79.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-b1321a79.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:29+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 3,biohacking_newsletters,newsletter,https://example-4234d3e6.com/biohacking-newsletter-sponsor,example-4234d3e6.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-4234d3e6.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:29+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 4,biohacking_newsletters,newsletter,https://example-5db34613.com/biohacking-newsletter-sponsor,example-5db34613.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-5db34613.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:29+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 5,biohacking_newsletters,newsletter,https://example-7230d239.com/biohacking-newsletter-sponsor,example-7230d239.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-7230d239.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:29+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 6,biohacking_newsletters,newsletter,https://example-a6891b2b.com/biohacking-newsletter-sponsor,example-a6891b2b.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-a6891b2b.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:30+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 7,biohacking_newsletters,newsletter,https://example-11178c52.com/biohacking-newsletter-sponsor,example-11178c52.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-11178c52.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:30+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 8,biohacking_newsletters,newsletter,https://example-2bc06500.com/biohacking-newsletter-sponsor,example-2bc06500.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-2bc06500.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:30+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 9,biohacking_newsletters,newsletter,https://example-c24ef0fb.com/biohacking-newsletter-sponsor,example-c24ef0fb.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-c24ef0fb.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:30+00:00,2026-06-07T18:28:15+00:00
Biohacking Newsletter Sponsor Prospect 10,biohacking_newsletters,newsletter,https://example-7473a405.com/biohacking-newsletter-sponsor,example-7473a405.com,Public sponsor and advertising page for biohacking_newsletters. Business inquiries: sponsor@example.com.,unknown,advertise_or_sponsor,public_email,sponsor@example.com,78,low,"Local deterministic score based on relevance, sponsor signal, contactability, and compliance risk.",unknown,https://example-7473a405.com/biohacking-newsletter-sponsor,new,2026-06-07T18:15:30+00:00,2026-06-07T18:28:15+00:00
